idx,name,volume,numTimes,price,image,question,category,brand,functionalMaterial
1,클로로파워,,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,스피루리나
2,유니 비타,,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,비타민E?비타민 C
3,우먼스포뮬라2미네랄,,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,칼슘?마그네슘?비타민 C?비타민 B6?망간?요오드?아연?비타민D?비타민 B12
4,우먼스포뮬라1미네랄,,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,비타민 C?비타민 B6?엽산?비타민 B12?칼슘?마그네슘?철?아연?망간
5,엔지겐 비 플러스 비타민,,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,판토텐산?비오틴?비타민 B6?비타민 B1
6,알로에아보레센스,,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,알로에 전잎
7,비전 에센셜 베타카로틴,,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,비타민E?비타민 C?아연?베타카로틴
8,바이오스 라이프 이 에너지,,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,비타민 B1?비타민 B2?나이아신?판토텐산?비타민 B6?비타민 C
9,바이오스 라이프 씨 플러스,,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,귀리식이섬유?비타민 C?크롬?베타카로틴?비타민E?나이아신?비타민 B6?비타민 B1?비타민 B2?엽산
10,바이오스 라이프 7,,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,프락토올리고당?식이섬유?비타민 B1?비타민 B2?나이아신?비타민 B6?엽산?비타민 C?비타민E?칼슘?아연
11,멀티 비타,,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,비타민E?나이아신?아연?비타민 B12?엽산
12,맨스포뮬라 멀티비타민＆미네랄,,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,나이아신?아연?망간?비타민 B6?엽산?비타민 B1?비타민 B2?비타민 B12?마그네슘?비타민E?비타민 C?베타카로틴?철?판토텐산?비타민A
13,Bios 7(전량 수출 목적 제품),,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,식이섬유?비타민 B1?비타민 B2?나이아신?비타민 B6?엽산?비타민 C?비타민E?칼슘?아연
14,Bios 7 export (전량 수출목적 제품 ),,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,프락토올리고당?식이섬유?비타민 B1?비타민 B2?나이아신?비타민 B6?엽산?비타민 C?비타민E?칼슘?아연
15,파이코식물성DHA유,,,,,,,파이코일바이오텍코리아(주),EPA 및 DHA 함유 유지
16,파이코식물성DHA,,,,,,,파이코일바이오텍코리아(주),EPA 및 DHA 함유 유지
17,한국칼슘왕,,,,,,,에이펙셀(주),비타민D?칼슘?마그네슘
18,평생팔팔칼슘왕,,,,,,,에이펙셀(주),비타민D?칼슘?마그네슘
19,키토산분말(원료),,,,,,,에이펙셀(주),키토산/키토올리고당
20,진세노큐리올 홍삼분말(원료),,,,,,,에이펙셀(주),홍삼
21,진세노큐리올,,,,,,,에이펙셀(주),홍삼
22,진세노드림365칼슘왕,,,,,,,에이펙셀(주),칼슘?비타민D?마그네슘
23,위대한 칼슘,,,,,,,에이펙셀(주),칼슘?마그네슘?비타민D
24,엔홍삼분골드,,,,,,,에이펙셀(주),홍삼
25,에이펙셀키토산,,,,,,,에이펙셀(주),키토산/키토올리고당?칼슘?서류가공품
26,에이지엑스,,,,,,,에이펙셀(주),칼슘?비타민D?마그네슘
27,건분식 홍삼분말(원료),,,,,,,에이펙셀(주),홍삼
28,강골칼슘,,,,,,,에이펙셀(주),칼슘?비타민D?마그네슘
29,8030칼슘프리미엄츄어블,,,,,,,에이펙셀(주),칼슘?마그네슘?비타민D
30,8030칼슘프리미엄,,,,,,,에이펙셀(주),칼슘?마그네슘?비타민D
31,8030칼슘분말(원료),,,,,,,에이펙셀(주),칼슘
32,8030칼슘마그비타,,,,,,,에이펙셀(주),칼슘?마그네슘?비타민D
33,7030칼슘프리미엄츄어블,,,,,,,에이펙셀(주),칼슘?마그네슘?비타민D
34,7030칼슘프리미엄,,,,,,,에이펙셀(주),칼슘?마그네슘?비타민D
35,7030칼슘분말(원료),,,,,,,에이펙셀(주),칼슘
36,7030칼슘마그비타,,,,,,,에이펙셀(주),칼슘?마그네슘?비타민D
37,6030칼슘분말(원료),,,,,,,에이펙셀(주),칼슘
38,6030칼슘마그비타,,,,,,,에이펙셀(주),칼슘?마그네슘?비타민D
39,트루오메가-3,,,,,,,고려은단 헬스케어(주),EPA 및 DHA 함유 유지
